,ChlA,QA_PIXEL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_B6,date,lat,lon,name,scene_id
77,4.11,5504,9320.0,9548.0,9025.0,8916.0,8818.0,8508.0,44565.0,2006-06-08,-90.51728,28.98813,Point_14,13_LT05_022040_20060606
78,0.18,5504,8468.0,7902.0,7433.0,7490.0,7411.0,7370.0,44172.0,2006-06-09,-91.25162,28.37468,Point_3,2_LT05_022040_20060606
79,0.31,5504,8617.0,8209.0,7795.0,7627.0,7499.0,7623.0,44380.0,2006-06-09,-91.23333,28.48333,Point_4,3_LT05_022040_20060606
80,0.62,5504,8453.0,8202.0,7790.0,7622.0,7497.0,7496.0,44397.0,2006-06-09,-91.23333,28.58333,Point_6,5_LT05_022040_20060606
81,1.38,5504,9783.0,9305.0,8907.0,8804.0,8511.0,8278.0,45114.0,2006-06-13,-92.4486,29.08838,Point_1,0_LT05_023040_20060613
82,1.76,5504,10089.0,9771.0,9273.0,9095.0,8969.0,8278.0,45114.0,2006-06-13,-92.44808,29.08825,Point_2,1_LT05_023040_20060613
83,0.67,5504,9552.0,9305.0,8907.0,8368.0,8053.0,8019.0,45114.0,2006-06-13,-92.44903,29.08737,Point_3,2_LT05_023040_20060613
84,1.47,5504,9707.0,9305.0,8907.0,8659.0,8053.0,8148.0,45114.0,2006-06-14,-92.4482,29.0885,Point_1,0_LT05_023040_20060613
85,1.25,5504,9707.0,9305.0,8784.0,8659.0,8329.0,8019.0,45114.0,2006-06-14,-92.44868,29.08855,Point_2,1_LT05_023040_20060613
86,1.5,5504,9707.0,9460.0,9028.0,8659.0,8329.0,8278.0,45114.0,2006-06-14,-92.44855,29.08858,Point_3,2_LT05_023040_20060613
87,8.364,5504,7722.0,7640.0,7475.0,7238.0,7137.0,7006.0,45192.0,2006-09-06,-89.47042,28.87288,Point_1,0_LT05_021040_20060903
88,0.8206,5504,7887.0,7803.0,7351.0,7239.0,7327.0,7140.0,44864.0,2006-09-06,-89.61883,28.87332,Point_2,1_LT05_021040_20060903
89,11.504,5504,7802.0,7959.0,7600.0,7238.0,7231.0,7408.0,45180.0,2006-09-06,-89.45707,28.90368,Point_3,2_LT05_021040_20060903
90,6.815534,5504,7633.0,7952.0,7471.0,7237.0,7137.0,7275.0,45226.0,2006-09-06,-89.11667,28.95913,Point_4,3_LT05_021040_20060903
91,13.348,5504,8040.0,8434.0,7852.0,7685.0,7326.0,7408.0,45128.0,2006-09-06,-89.38307,28.96913,Point_5,4_LT05_021040_20060903
92,18.27027,5504,7960.0,8592.0,7978.0,7833.0,7326.0,7408.0,45125.0,2006-09-06,-89.32657,29.03528,Point_6,5_LT05_021040_20060903
93,7.264,5504,7635.0,8427.0,7723.0,7237.0,7231.0,7542.0,45359.0,2006-09-06,-89.0117,29.09588,Point_7,6_LT05_021040_20060903
94,17.63,5504,7635.0,8269.0,7723.0,7237.0,7137.0,7408.0,45182.0,2006-09-06,-88.96132,29.14962,Point_8,7_LT05_021040_20060903
95,0.5362,5504,7937.0,7786.0,7467.0,7382.0,7420.0,7408.0,44767.0,2006-09-06,-88.56685,29.17888,Point_9,8_LT05_021040_20060903
96,1.556,5504,7810.0,7644.0,7351.0,7239.0,7327.0,7275.0,44847.0,2006-09-06,-89.57623,28.95087,Point_10,9_LT05_021040_20060903
97,0.4022,7440,7680.0,8112.0,7862.0,8194.0,7491.0,7439.0,44799.0,2006-09-08,-90.39185,28.83268,Point_9,8_LT05_022040_20060910
98,0.3648,7440,8428.0,8416.0,8104.0,8046.0,7682.0,7848.0,44789.0,2006-09-08,-90.46072,28.85602,Point_11,10_LT05_022040_20060910
99,0.6612,5504,9041.0,8760.0,8355.0,8196.0,8265.0,8083.0,44807.0,2006-09-10,-92.76167,28.64218,Point_3,2_LT05_024040_20060908
100,0.6928,5504,10739.0,10547.0,10023.0,9881.0,9429.0,9043.0,43899.0,2006-09-10,-92.76415,28.75765,Point_5,4_LT05_024040_20060908
101,0.6356,7440,9952.0,9261.0,8875.0,8353.0,7977.0,7810.0,44335.0,2006-09-10,-93.09857,28.80095,Point_7,6_LT05_024040_20060908
102,4.11,5504,8421.0,8455.0,7981.0,7899.0,7784.0,7536.0,44632.0,2006-09-10,-92.75437,29.2948,Point_13,12_LT05_024040_20060908
103,2.65,5504,8830.0,8859.0,8122.0,7854.0,7525.0,7582.0,44791.0,2006-09-10,-92.7524,29.53287,Point_15,14_LT05_024039_20060908
104,2.65,5504,8035.0,8308.0,7606.0,7445.0,7301.0,7537.0,44792.0,2006-09-10,-92.7524,29.53287,Point_15,14_LT05_024040_20060908
105,0.4938,7440,9969.0,9761.0,9013.0,8822.0,8077.0,7811.0,43796.0,2006-09-11,-93.08952,29.11713,Point_2,1_LT05_024040_20060908
